,,,,,,,,,,,,,,
Emblem &,,,,,,,,,,,,,,
World,Bond Ring,Rank,HP+,Str+,Mag+,Dex+,Spd+,Lck+,Def+,Res+,Bld+,Skill,Skill Description,Ring Description
,Seliph,A,,1,,1,,,1,,,---,---,Became the savior of Jugdral by leading an army against Grannvale.
,Seliph,S,,2,,1,,,1,,,Battlewise,Grants a stacking Crit+1 each time unit initiates combat and defeats a foe. Bonus lasts for the rest of the battle. (Max +10),Appears in Genealogy of the Holy War and Thracia 776.
Celica,Alm,C,,1,,,,,,,,---,---,Hero from beyond Elyos and the savior of the land of Valentia.
World of the,Alm,B,,1,,1,,,,,,---,---,The brand on his left hand proved that he was chosen by prophecy.
Caring Princess,Alm,A,,1,,1,,,1,,,---,---,He worked with Celica in her final battle against the wicked god Duma.
,Alm,S,,2,,1,,,1,,,Windsweep,"If unit initiates combat with a sword, foe may not counterattack. Trigger %=Lck.",Appears in Shadows of Valentia.
,Faye,C,,,1,,,,,,,---,---,Hero from beyond Elyos who was head over heels in love with Alm.
,Faye,B,,,1,,,1,,,,---,---,Alm's childhood friend from Ram Village.
,Faye,A,2,,1,,,1,,,,---,---,She liked Alm since childhood and wished to live with him one day.
,Faye,S,2,,2,,,1,,,,---,---,Appears in Shadows of Valentia.
,Lukas,C,,,,,,,1,,,---,---,Hero from beyond Elyos who fought to free Zofia as a Deliverance soldier.
,Lukas,B,2,,,,,,1,,,---,---,This young man with a gentle air led Alm to join the Deliverance forces.
,Lukas,A,2,1,,,,,1,,,---,---,"Born into nobility, but treats all with respect, regardless of their lineage."
,Lukas,S,2,1,,,,,2,,,---,---,Appears in Shadows of Valentia.
,Silque,C,,,,,,1,,,,---,---,Hero from beyond Elyos and devout cleric serving the goddess Mila.
,Silque,B,,,1,,,1,,,,---,---,"She was captured by thieves and saved by Alm, becoming his ally."
,Silque,A,,,1,1,,1,,,,---,---,A pious soul hopeful that Mila's teachings will save all who suffer.
,Silque,S,,,1,1,,2,,,,---,---,Appears in Shadows of Valentia.
,Delthea,C,,,1,,,,,,,---,---,Hero from beyond Elyos and a mage with a cheery personality.
,Delthea,B,,,1,,,,,1,,---,---,Alm freed her from an enemy's control and they became allies.
,Delthea,A,,,1,,1,,,1,,---,---,She hated the village of her birth and dreamed of romance in the big city.
,Delthea,S,,,2,,1,,,1,,---,---,Appears in Shadows of Valentia.
,Mae,C,,,1,,,,,,,---,---,Hero from beyond Elyos with a cheerful and positive disposition.
,Mae,B,,,1,,1,,,,,---,---,Mage from Novis who journeyed with Celica to the Temple of Mila.
,Mae,A,,,1,,1,,,1,,---,---,Cared about and supported Celica both as a servant and as a friend.
,Mae,S,,,2,,1,,,1,,Great Thunder,"If unit uses Thunder, Elthunder, or Thoron, deals +20% damage.",Appears in Shadows of Valentia.
,Genny,C,,,,,,,,1,,---,---,Hero from beyond Elyos and an easygoing cleric.
,Genny,B,,,1,,,,,1,,---,---,She served at the priory on Novis Island and traveled with Celica.
,Genny,A,,,1,,,1,,1,,---,---,She is carefree and enjoys reading or writing stories at home.
,Genny,S,,,1,,,1,,2,,---,---,Appears in Shadows of Valentia.
,Saber,C,,,,,1,,,,,---,---,"Hero from beyond Elyos and a strong, capable mercenary."
,Saber,B,,,,1,1,,,,,---,---,He was hired by Celica to escort her across a sea frequented by pirates.
,Saber,A,,,,1,1,,,1,,---,---,A long-time adviser and guardian of Celica. A rogue with a good heart.
,Saber,S,,,,1,2,,,1,,---,---,Appears in Shadows of Valentia.
,Valbar,C,2,,,,,,,,,---,---,Hero from beyond Elyos and a proud warrior.
,Valbar,B,2,,,,,,1,,,---,---,"Fought to avenge the death of his family, who were killed by pirates."
,Valbar,A,2,1,,,,,1,,,---,---,"An open-minded and helpful soul, well liked by all."
,Valbar,S,5,1,,,,,1,,,---,---,Appears in Shadows of Valentia.
,Conrad,C,,,,1,,,,,,---,---,Hero from beyond Elyos and an enigmatic masked knight.
,Conrad,B,,,,1,,,1,,,---,---,He appeared whenever Celica was in danger and saved her many times.
,Conrad,A,2,,,1,,,1,,,---,---,The white mask hiding his face shrouds him in mystery.
,Conrad,S,2,,,2,,,1,,,---,---,Appears in Shadows of Valentia.
Micaiah,Sothe,C,,,,1,,,,,,---,---,Hero from beyond Elyos adopted by Micaiah as a younger brother.
World of the,Sothe,B,,,,1,,1,,,,---,---,A young freedom fighter with the Dawn Brigade resistance group.
Dawn Maiden,Sothe,A,,,,1,1,1,,,,---,---,"Though unrelated to Micaiah, he loved her as his adopted sister."
,Sothe,S,,,,2,1,1,,,,Bane,May reduce foe's HP to 1. Trigger %=half of Dex. (Certain foes are immune to this effect.),Appears in Path of Radiance and Radiant Dawn.
,Nailah,C,2,,,,,,,,,---,---,"Queen of Hatari on Tellius, a continent in another world."
,Nailah,B,2,,,,,1,,,,---,---,A laguz who could petrify foes with an evil eye and turn into a huge wolf.
,Nailah,A,2,,,,,1,1,,,---,---,Encountered Prince Rafiel collapsed in the desert and fell in love with him.
,Nailah,S,5,,,,,1,1,,,---,---,Appears in Radiant Dawn.
,Elincia,C,,,,,,1,,,,---,---,"Queen of Crimea on Tellius, a continent in another world."
,Elincia,B,,,,,1,1,,,,---,---,"Pure of heart, she loved her country and was adored by her people."
,Elincia,A,,1,,,1,1,,,,---,---,"She deplored conflict, going so far as to disarm herself in battle."
,Elincia,S,,1,,,1,2,,,,Mercy,"If dealing enough damage to defeat foe, instead leaves foe with 1 HP.",Appears in Path of Radiance and Radiant Dawn.
,Leanne,C,,,,,,1,,,,---,---,"Princess of Serenes on Tellius, a continent in another world."
,Leanne,B,2,,,,,1,,,,---,---,Miraculously escaped unharmed when her homeland was destroyed.
,Leanne,A,2,,,,,1,,1,,---,---,She is pure of heart and can heal her allies' fatigue with her Galdrar.
,Leanne,S,2,,,,,2,,1,,---,---,Appears in Path of Radiance and Radiant Dawn.
,Nephenee,C,,,,,1,,,,,---,---,Hero from beyond Elyos and soldier of Crimea.
,Nephenee,B,,,,1,1,,,,,---,---,"To save her home, she joined the war as a volunteer soldier."
,Nephenee,A,,,,1,1,,,1,,---,---,She is a woman of few words but a strong love for her country.
,Nephenee,S,,,,1,2,,,1,,---,---,Appears in Path of Radiance and Radiant Dawn.
,Sanaki,C,,,1,,,,,,,---,---,"Empress of Begnion on Tellius, a continent in another world."
,Sanaki,B,,,1,,,1,,,,---,---,The 37th empress and apostle was said to hear the voice of the goddess.
,Sanaki,A,,,1,,,1,,1,,---,---,"She is young, but strong-willed and virtuous in her leadership."
,Sanaki,S,,,2,,,1,,1,,---,---,Appears in Path of Radiance and Radiant Dawn.
,Naesala,C,2,,,,,,,,,---,---,"King of Kilvas on Tellius, a continent in another world."
,Naesala,B,2,,,,,1,,,,---,---,"A laguz shape-shifter, he led a tribe that could transform into ravens."
,Naesala,A,2,,,,,1,,1,,---,---,"Cunning and calculating, he puts his nation before all else."
,Naesala,S,5,,,,,1,,1,,---,---,Appears in Path of Radiance and Radiant Dawn.
,Tibarn,C,2,,,,,,,,,---,---,"King of Phoenicis on Tellius, a continent in another world."
,Tibarn,B,2,1,,,,,,,,---,---,A laguz shape-shifter who led a tribe that could transform into hawks.
,Tibarn,A,2,1,,,,,1,,,---,---,The Hawk King rallied his allies with his charisma and decisive action.
,Tibarn,S,5,1,,,,,1,,,---,---,Appears in Path of Radiance and Radiant Dawn.
,Caineghis,C,2,,,,,,,,,---,---,"King of Gallia on Tellius, a continent in another world."
,Caineghis,B,2,,,,,1,,,,---,---,A laguz lion shape-shifter who led a tribe who could transform into beasts.
,Caineghis,A,2,1,,,,1,,,,---,---,He dedicated all his strength to peace between laguz and humans.
,Caineghis,S,5,1,,,,1,,,,---,---,Appears in Path of Radiance and Radiant Dawn.
,Black Knight,C,,,,,,,1,,,---,---,Hero from beyond Elyos who was Daein's most powerful general.
,Black Knight,B,,,,1,,,1,,,---,---,"Black-armored and peerlessly strong member of the elite ""Four Riders."""
,Black Knight,A,,1,,1,,,1,,,---,---,"After killing Greil, he clashed with Greil's son, Ike, in deadly skirmishes."
,Black Knight,S,,1,,1,,,2,,,---,---,Appears in Path of Radiance and Radiant Dawn.
Roy,Lilina,C,,,1,,,,,,,---,---,"A noble of Ostia in the Lycia region of Elibe, a land in another world."
World of the,Lilina,B,,,1,,,,,1,,---,---,An extremely gifted mage and Roy's childhood friend.
Young Lion,Lilina,A,,,1,,,1,,1,,---,---,"As Hector's daughter, she combines innocent looks with a stout heart."
,Lilina,S,,,2,,,1,,1,,Raging Fire,"If unit uses Fire, Elfire, or Bolganone, deals +20% damage.",Appears in The Binding Blade and The Blazing Blade.
,Wolt,C,,,,1,,,,,,---,---,Hero from beyond Elyos who served Roy as an archer.
,Wolt,B,,1,,1,,,,,,---,---,"A cheerful boy, he worked diligently to justify his role as Roy's retainer."
,Wolt,A,,1,,1,1,,,,,---,---,"His mother was Roy's nanny, making Roy his stepbrother of sorts."
,Wolt,S,,1,,2,1,,,,,---,---,Appears in The Binding Blade.
,Dieck,C,2,,,,,,,,,---,---,Hero from beyond Elyos who was a mercenary hired by House Pherae.
,Dieck,B,2,,,1,,,,,,---,---,He cultivated the unwavering trust of his comrades as a leader.
,Dieck,A,2,1,,1,,,,,,---,---,"Once a gladiator, he made quite a name for himself in the arena."
,Dieck,S,5,1,,1,,,,,,Strong Arm,Grants Hit+20 while unit is equipped with a smash weapon.,Appears in The Binding Blade.
,Lugh,C,,,,,1,,,,,---,---,Hero from beyond Elyos and a young boy with a steadfast heart.
,Lugh,B,,,,1,1,,,,,---,---,"The older of twin orphans, adept at using Anima magic."
,Lugh,A,,,1,1,1,,,,,---,---,He is tender-hearted but won't balk at protecting the ones he loves.
,Lugh,S,,,1,1,2,,,,,---,---,Appears in The Binding Blade.
,Rutger,C,,,,1,,,,,,---,---,Hero from beyond Elyos who is a solitary swordsman of few words.
,Rutger,B,,,,1,1,,,,,---,---,"When his home was destroyed by Bern's forces, he sought revenge."
,Rutger,A,,1,,1,1,,,,,---,---,Switched allegiance to fight with Roy when he learned Roy opposed Bern.
,Rutger,S,,1,,2,1,,,,,---,---,Appears in The Binding Blade.
,Fir,C,,,,,1,,,,,---,---,Hero from beyond Elyos who lives for the sword.
,Fir,B,,,,1,1,,,,,---,---,"Honed her fighting skills to emulate her mother, the ""Princess of Swords."""
,Fir,A,,,,1,1,1,,,,---,---,She's a bit gullible and got tricked by pirates into working for them.
,Fir,S,,,,1,2,1,,,,---,---,Appears in The Binding Blade.
,Raigh,C,,,,1,,,,,,---,---,Hero from beyond Elyos who appears mature beyond his years.
,Raigh,B,,,1,1,,,,,,---,---,"The younger of twin orphans, adept at using Dark magic."
,Raigh,A,,,1,1,,,,1,,---,---,"He has a sharp tongue, but he is extremely devoted to his family."
,Raigh,S,,,1,2,,,,1,,---,---,Appears in The Binding Blade.
,Cecilia,C,,,,1,,,,,,---,---,Hero from beyond Elyos who was an Etrurian general.
,Cecilia,B,,,,1,,,,1,,---,---,"One of the three generals of her nation, she commanded their mages."
,Cecilia,A,,,1,1,,,,1,,---,---,"A wise, astute woman and mentor who taught Roy how to fight."
,Cecilia,S,,,1,2,,,,1,,---,---,Appears in The Binding Blade.
,Sophia,C,,,,,,,,1,,---,---,Hero from beyond Elyos who is a shaman with a mystical air.
,Sophia,B,,,1,,,,,1,,---,---,Her special powers include the ability to predict the future.
,Sophia,A,2,,1,,,,,1,,---,---,Guided Roy to a hidden village where people and dragons coexist.
,Sophia,S,2,,1,,,,,2,,---,---,Appears in The Binding Blade and The Blazing Blade.
,Fae,C,,,,,,1,,,,---,---,Hero from beyond Elyos who was the last surviving Divine Dragon.
,Fae,B,,1,,,,1,,,,---,---,"A manakete, she lived in a hidden village in the Nabata Desert."
,Fae,A,,1,,1,,1,,,,---,---,"Despite her naive appearance, she is several centuries old."
,Fae,S,,1,,1,,2,,,,---,---,Appears in The Binding Blade and The Blazing Blade.
Leif,Nanna,C,,,,,,1,,,,---,---,Hero from beyond Elyos and the daughter of the Princess Lachesis.
World of the,Nanna,B,,,,,1,1,,,,---,---,"She was raised by Finn, a knight of Leonster, alongside Prince Leif."
Sage Lord,Nanna,A,,,,1,1,1,,,,---,---,She fought to liberate Thracia with her mother's noble spirit.
,Nanna,S,,,,1,1,2,,,,---,---,Appears in Genealogy of the Holy War and Thracia 776.
,Finn,C,,,,,1,,,,,---,---,Hero from beyond Elyos who served Leif as a knight.
,Finn,B,,1,,,1,,,,,---,---,Served two generations of princes as a loyal retainer of Leonster.
,Finn,A,,1,,1,1,,,,,---,---,He escaped with Leif when Leonster Castle fell and raised him afterward.
,Finn,S,,1,,1,2,,,,,Miracle,Avoids foe's attack when unit would be defeated. Trigger %=Lck. (Max 50%),Appears in Genealogy of the Holy War and Thracia 776.
,Osian,C,,,,,,,,,1,---,---,Hero from beyond Elyos who fought in the Fiana Freeblades with his axe.
,Osian,B,,,,,1,,,,1,---,---,"Hot-headed and proud, he is skilled with the throwing axe Vouge."
,Osian,A,,,,,1,1,,,1,---,---,"Though brash, he's also a cheerful and inspiring presence in the army."
,Osian,S,,,,,1,1,,,2,---,---,Appears in Thracia 776.
,Asbel,C,,,,,1,,,,,---,---,Hero from beyond Elyos skilled in the use of wind magic.
,Asbel,B,,,,1,1,,,,,---,---,"He learned much while studying under Ced, leader of the Magi."
,Asbel,A,,,1,1,1,,,,,---,---,He and Leif met in their youth and vowed to take back Thracia.
,Asbel,S,,,1,1,2,,,,,---,---,Appears in Thracia 776.
,Shiva,C,,,,1,,,,,,---,---,Hero from beyond Elyos and a wandering swordsman.
,Shiva,B,,1,,1,,,,,,---,---,This black-clad master of the sword wields his blade with deadly skill.
,Shiva,A,,1,,1,,1,,,,---,---,"Though cold, he is not heartless, and detests the waste of any life."
,Shiva,S,,1,,2,,1,,,,---,---,Appears in Thracia 776.
,Olwen,C,,,,,1,,,,,---,---,Hero from beyond Elyos and mage knight with a serious demeanor.
,Olwen,B,,,1,,1,,,,,---,---,"Reinhardt's younger sister, a soldier serving the Friege house."
,Olwen,A,,,1,,1,1,,,,---,---,She is principled and left the army upon learning of its cruel practices.
,Olwen,S,,,1,,2,1,,,,Dire Thunder,"When unit initiates combat with Thunder equipped, unit attacks twice. (Excludes Elthunder and Thoron.)",Appears in Thracia 776.
,Mareeta,C,,,,,1,,,,,---,---,Hero from beyond Elyos and sword fighter of the Fiana Freeblades.
,Mareeta,B,,,,1,1,,,,,---,---,"The adopted daughter of Eyvel, head of the Fiana Freeblades."
,Mareeta,A,,,,1,1,1,,,,---,---,Descendant of the crusader Od and master of the skills Luna and Astra.
,Mareeta,S,,,,1,2,1,,,,---,---,Appears in Thracia 776.
,Linoan,C,,,,,1,,,,,---,---,"Duchess of Tarrah on Jugdral, a continent in another world."
,Linoan,B,,,,1,1,,,,,---,---,A gentle and wise leader who succeeded her late father.
,Linoan,A,,,1,1,1,,,,,---,---,"A descendant of Saint Heim, she joined Leif to oppose the Empire."
,Linoan,S,,,1,1,2,,,,,---,---,Appears in Thracia 776.
,Sara,C,,,,1,,,,,,---,---,Hero from beyond Elyos and cleric with a mysterious power.
,Sara,B,,,1,1,,,,,,---,---,She became Leif's ally when she heard him call out for help.
,Sara,A,,,1,1,1,,,,,---,---,"Despised her grandfather, Manfroy, the great priest of the Loptr Church."
,Sara,S,,,1,2,1,,,,,---,---,Appears in Thracia 776.
,Ced,C,,,1,,,,,,,---,---,"Prince of Silesse on Jugdral, a continent in another world."
,Ced,B,,,1,,1,,,,,---,---,"The son of Lewyn, he inherited the holy wind magic tome Forseti."
,Ced,A,,,1,1,1,,,,,---,---,"He formed the Magi, a resistance group. Known as ""Hero on the Wind."""
,Ced,S,,,2,1,1,,,,,---,---,Appears in Genealogy of the Holy War and Thracia 776.
Lucina,Chrom,C,2,,,,,,,,,---,---,"Prince of the Halidom of Ylisse, a land in another world."
World of the,Chrom,B,2,,,1,,,,,,---,---,"A descendant of the Hero-King, he led the Shepherds to protect Ylisse."
Princess Exalt,Chrom,A,2,,,1,1,,,,,---,---,"With Robin and his future daughter, he battled the Fell Dragon Grima."
,Chrom,S,5,,,1,1,,,,,Rightful Ruler,Adds +5% to trigger rate for all skills with trigger rates.,Appears in Awakening.
,Lissa,C,,,,,,1,,,,---,---,"Princess of the Halidom of Ylisse, a land in another world."
,Lissa,B,,,1,,,1,,,,---,---,A compassionate member of the Shepherds who treats all equally.
,Lissa,A,,,1,,,1,,1,,---,---,Her high energy makes her an inspiring presence in the Shepherds.
,Lissa,S,,,1,,,2,,1,,Healtouch,"When unit heals an ally with a staff, restores +5 HP to target.",Appears in Awakening.
,Gaius,C,,,,,1,,,,,---,---,Hero from beyond Elyos and thief from the Halidom of Ylisse.
,Gaius,B,,,,1,1,,,,,---,---,"Composed and clever, he would take on any job for the right price."
,Gaius,A,,1,,1,1,,,,,---,---,He loves sweets and conceals them all over his person.
,Gaius,S,,1,,1,2,,,,,---,---,Appears in Awakening.
,Cordelia,C,,1,,,,,,,,---,---,Hero from beyond Elyos and pegasus knight of the Halidom of Ylisse.
,Cordelia,B,,1,,,,1,,,,---,---,A renowned beauty with exceptional talent who completes any task well.
,Cordelia,A,,1,,,,1,1,,,---,---,Her unrequited feelings toward Chrom caused her to sigh frequently.
,Cordelia,S,,2,,,,1,1,,,---,---,Appears in Awakening.
,Nowi,C,,,,,,1,,,,---,---,Hero from beyond Elyos and an innocent young dragon.
,Nowi,B,,,,,,1,1,,,---,---,A manakete in human form. She is far older than she appears.
,Nowi,A,,1,,,,1,1,,,---,---,"She loves having fun with others, and is an inveterate late sleeper."
,Nowi,S,,1,,,,2,1,,,---,---,Appears in Awakening.
,Tharja,C,,,,,1,,,,,---,---,Hero from beyond Elyos and a dark mage from Plegia.
,Tharja,B,,,1,,1,,,,,---,---,"Wicked and deeply jealous, she was known for her curses."
,Tharja,A,,,1,,1,,1,,,---,---,"She became very attached to Robin, whom she followed like a shadow."
,Tharja,S,,,1,,2,,1,,,---,---,Appears in Awakening.
,Owain,C,2,,,,,,,,,---,---,Hero from beyond Elyos and Lissa's son.
,Owain,B,2,,1,,,,,,,---,---,A Brand-bearer of Exalted blood who came from the future.
,Owain,A,2,,1,,1,,,,,---,---,"He's a pompous, excitable show-off who cares most about looking cool."
,Owain,S,5,,1,,1,,,,,---,---,Appears in Awakening.
,Inigo,C,,,,,,1,,,,---,---,Hero from beyond Elyos and Olivia's son.
,Inigo,B,,,,,1,1,,,,---,---,An amiable young man who was one of the children from the future.
,Inigo,A,,,,1,1,1,,,,---,---,He's an incorrigible flirt who is shyer than he lets on.
,Inigo,S,,,,1,1,2,,,,---,---,Appears in Awakening.
,Severa,C,,1,,,,,,,,---,---,Hero from beyond Elyos and Cordelia's daughter.
,Severa,B,,1,,,1,,,,,---,---,One of the children from the future known for her strong will and snark.
,Severa,A,,1,,,1,,1,,,---,---,She's thoroughly devious and a dedicated wastrel.
,Severa,S,,2,,,1,,1,,,---,---,Appears in Awakening.
,Morgan,C,,,1,,,,,,,---,---,"Child of Robin, hero from beyond Elyos."
,Morgan,B,,,1,,,,,1,,---,---,A time traveler who aspires to be a great tactician like Robin.
,Morgan,A,,,1,,,1,,1,,---,---,"Suffers from amnesia but remains energetic, cheerful, and driven."
,Morgan,S,,,2,,,1,,1,,---,---,Appears in Awakening.
Lyn,Eliwood,C,,,,,,1,,,,---,---,"A noble of House Pherae in Elibe, a continent in another world."
World of the,Eliwood,B,,1,,,,1,,,,---,---,"Sincere and straightforward, he journeyed to find his missing father."
Lady of the,Eliwood,A,,1,,1,,1,,,,---,---,"He was duped by Nergal, but in the end took him on with his friends."
Plains,Eliwood,S,,1,,1,,2,,,,Draw Back,Use to move 1 space away from adjacent ally and pull the ally along.,Appears in The Binding Blade and The Blazing Blade.
,Hector,C,,1,,,,,,,,---,---,"A noble of Ostia in the Lycia region of Elibe, a land in another world."
,Hector,B,,1,,,,,1,,,---,---,"A strong, exuberant young man who taught himself how to wield an axe."
