<--------------------,Recruitment info in previous tab,,,,,,,,,"If not listed, character gains",,,,,"Base stats were all calculated. If anything looks odd, please contact me!",,,,,,,,,,,,Remember that you need to add class growths!,,,,I tested Alear and Dragon Child growths:,,,https://twitter.com/Aveyn_Knight/status/1616091790746222592,,,,,,,,,,,,,,,,Seems odd?,,,,,,,,,,,
,Sorry about any messed up symbolsÃ©,,,,,,,,,Proficiency from their initial class,,,,Internal,Enemy stats are for Normal mode (keep scrolling ------------------------------------> for Hard mode stats),,,,,,,,,,,,,,,,,,"Also Sight and Movement growth, but all 0",,,,,,,,,,,,,,,,,,,Hard mode stats,,,,,,,,,
Chloé,,PID_クロエ,Lance Flier,18,Female,April,27,,Balanced,Lance,Staff,,6,0,26,8,4,13,13,5,9,10,5,5,300,,75,25,35,40,55,30,25,25,5,,-2,1,0,3,-1,0,0,,Fairy-Tale Folk,---,---,---,---,Firene,Princess Céline's retainer. A woman of noble birth who loves fairy tales and sampling folk food.,26,8,4,13,13,5,9,10,5,5
Louis,,PID_ルイ,Lance Armor,22,Male,November,4,,Critical,Lance,---,,6,0,30,13,0,11,3,16,1,4,8,4,300,,75,40,0,25,25,50,20,25,15,,1,0,-1,-2,3,-2,1,,Admiration,---,---,---,---,Firene,"Princess Céline's retainer. A smiling, refined gentleman who loves tea.",30,13,0,11,3,16,1,4,8,4
Yunaka,,PID_ユナカ,Thief,22,Female,July,28,,Avoid,Dagger,---,,6,0,25,8,5,14,12,9,7,8,5,5,500,,50,35,25,40,45,15,45,25,5,,-1,0,1,2,-2,2,-1,,Trained to Kill,---,---,---,---,Brodia,A thief encountered in a mountain settlement. She keeps a tight lid on the details of her past.,25,8,5,14,12,9,7,8,5,5
Alcryst,,PID_スタルーク,Lord,17,Male,October,15,,Hit,Bow,---,,10,0,28,11,2,17,12,8,5,8,6,4,500,,65,30,10,40,45,30,20,15,10,,1,-1,3,0,1,-2,-1,,"Get Behind Me!, (Royal)",---,---,---,---,Brodia,"The self-torturing, wildly imaginative prince of Brodia. Has hidden talents even he isn't aware of.",28,11,2,17,12,8,5,8,6,4
Citrinne,,PID_シトリニカ,Mage,17,Female,November,9,,Balanced,Tome,Staff,,10,0,24,2,15,13,10,3,12,10,4,4,500,,45,10,40,25,30,20,40,25,5,,-1,3,0,-1,-2,2,0,,Generosity,---,---,---,---,Brodia,"Prince Alcryst's retainer. Despite her fierce demeanor, she's a noble who cares deeply for her friends.",24,2,15,13,10,3,12,10,4,4
Lapis,,PID_ラピス,Sword Fighter,18,Female,May,25,,Dodge,Sword,---,,10,0,26,11,2,12,14,7,6,7,5,4,500,,55,25,20,35,55,35,30,25,5,,-2,-2,2,3,0,0,0,,Share Spoils,---,---,---,---,Brodia,Prince Alcryst's retainer. Her quiet modesty belies her superhuman strength.,26,11,2,12,14,7,6,7,5,4
Diamant,,PID_ディアマンド,Lord,25,Male,April,6,,Critical,Sword,Axe,,11,0,32,13,3,13,13,10,6,10,9,4,800,,75,30,15,20,40,40,25,20,15,,2,-1,-1,0,2,-1,0,,"Fair Fight, (Royal)",---,---,---,---,Brodia,"The majestic crown prince of Brodia. His people trust him greatly for his strong, genuine demeanor.",32,13,3,13,13,10,6,10,9,4
Amber,,PID_アンバー,Lance Cavalier,24,Male,February,3,,Avoid,Lance,---,,11,0,31,15,2,13,11,9,3,9,8,5,800,,65,45,0,25,30,35,5,35,15,,2,-1,-1,-1,1,-1,1,,Aspiring Hero,---,---,---,---,Brodia,Prince Diamant's retainer. Has a boundless enthusiasm for legends and adventure.,31,15,2,13,11,9,3,9,8,5
Jade,,PID_ジェーデ,Axe Armor,22,Female,December,7,,Hit,Axe,---,,12,0,33,14,4,14,5,18,6,5,8,4,800,,55,35,25,35,30,40,30,20,10,,1,-1,0,0,2,0,-1,,Meditation,---,---,---,---,Brodia,Prince Diamant's retainer. A warrior of few words who always keeps her wits about her.,33,14,4,14,5,18,6,5,8,4
Ivy,,PID_アイビー,Wing Tamer,20,Female,November,17,,Dodge,Tome,Staff,,17,0,32,7,17,15,13,12,15,4,7,5,1000,,55,25,30,25,40,30,35,15,10,,0,2,-2,0,2,2,-3,,"Single-Minded, (Royal)",---,---,---,---,Elusia,"The mysterious, melancholy crown princess of Elusia. She never relaxes her icy royal decorum.",32,7,17,15,13,12,15,4,7,5
Kagetsu,,PID_カゲツ,Swordmaster,26,Male,December,22,,Balanced,Sword,---,,1,15,35,17,5,22,22,14,10,17,9,5,1000,,60,30,15,50,50,40,25,40,10,,-1,-1,2,2,0,-2,1,,Blinding Flash,---,---,---,---,Elusia,Princess Ivy's retainer. A handsome young man from outside Elusia who speaks freely and without inhibition.,35,17,5,22,22,14,10,17,9,5
Zelkov,,PID_ゼルコバ,Thief,28,Male,August,2,,Hit,Dagger,---,,17,0,35,15,3,19,19,14,5,7,9,5,1000,,65,35,15,40,35,35,15,25,10,,0,-1,2,0,0,-1,1,,Not *Quite*,---,---,---,---,Elusia,Princess Ivy's retainer. An enigmatic man who's always absorbed in intrigues of his own making.,35,15,3,19,19,14,5,7,9,5
Fogado,,PID_フォガート,Sentinel,17,Male,February,14,,Avoid,Bow,Sword,,17,0,33,12,7,17,18,10,11,8,8,5,1200,,60,30,25,30,55,30,35,25,10,,-1,-1,0,3,-1,1,0,,"Charmer, (Royal)",---,---,---,---,Solm,"A freewheeling, optimistic young Sentinel. He's easygoing, but there's something mysterious about him.",33,12,7,17,18,10,11,8,8,5
Pandreo,,PID_パンドロ,High Priest,20,Male,January,6,,Dodge,Staff,"Tome, Arts",,1,15,34,7,16,18,17,8,22,14,8,5,1200,,60,5,30,45,45,15,55,30,15,,-3,2,0,-1,-2,3,2,,Party Animal,---,---,---,---,Solm,"A member of the Sentinels. Though deeply religious, he loves to party more than just about anyone.",34,7,16,18,17,8,22,14,8,5
Bunet,,PID_ボネ,Great Knight,23,Male,May,30,,Critical,Sword,Axe,,1,15,41,15,5,15,9,20,8,13,11,6,1200,,65,30,10,40,35,45,25,40,10,,1,-3,1,0,2,-1,1,,Seconds?,---,---,---,---,Solm,"A member of the Sentinels, and a chef with incredibly refined senses of taste and smell.",41,15,5,15,9,20,8,13,11,6
Timerra,,PID_ミスティラ,Sentinel,18,Female,August,29,,Critical,Lance,---,,18,0,35,14,6,17,18,16,8,10,5,4,1500,,55,25,25,45,45,30,30,30,10,,-1,-1,3,0,2,-3,1,,"Racket of Solm, (Royal)",---,---,---,---,Solm,The bubbly and outgoing crown princess of Solm. Known for being accessible and approachable by all.,35,14,6,17,18,16,8,10,5,4
Panette,,PID_パネトネ,Berserker,18,Female,October,23,,Hit,Dagger,---,,1,15,46,25,3,19,13,11,7,11,11,5,1500,,75,45,10,40,25,30,15,20,15,,3,-1,0,0,0,-1,0,,Blood Fury,---,---,---,---,Solm,Princess Timerra's retainer. She has a tendency to speak in erratic and somewhat stilted tones.,46,25,3,19,13,11,7,11,11,5
Merrin,,PID_メリン,Wolf Knight,19,Female,September,24,,Balanced,Dagger,Sword,,1,15,36,15,10,21,21,12,12,14,9,6,1500,,55,25,25,40,50,30,30,25,10,,-1,-1,1,2,-1,0,1,,Knightly Escort,---,---,---,---,Solm,Princess Timerra's retainer. She's a dashing woman with a fondness for animals.,36,15,10,21,21,12,12,14,9,6
Hortensia,,PID_オルテンシア,Wing Tamer,14,Female,June,3,,Avoid,Staff,Tome,,19,0,27,5,12,21,19,6,23,17,5,5,1500,,40,20,20,35,50,25,55,50,0,,-2,0,0,1,-3,3,2,,"Big Personality, (Royal)",---,---,---,---,Elusia,"A mischievous, spoiled princess of Elusia. She is nonetheless devoted to her family and friends.",27,5,12,21,19,6,23,17,5,5
Seadall,,PID_セアダス,Dancer,23,Male,April,21,,Critical,Arts,---,,15,0,33,12,4,15,16,10,10,11,8,5,1500,,55,25,15,25,50,25,25,35,10,,0,-2,-1,2,0,0,2,,Curious Dance,---,---,---,---,Solm,A famous dancer of Solm. He is also a skilled fortune-teller and cultivates an aura of mystery.,33,12,4,15,16,10,10,11,8,5
Rosado,,PID_ロサード,Wyvern Knight,17,Male,January,19,,Hit,Axe,Lance,,3,17,44,16,7,19,21,15,11,8,8,6,1800,,75,45,25,40,45,30,30,20,5,,3,-2,1,0,1,-2,0,,Stunning Smile,---,---,---,---,Elusia,"Princess Hortensia's retainer. He loves cute things and always maintains a bright, positive attitude.",44,16,7,19,21,15,11,8,8,6
Goldmary,,PID_ゴルドマリー,Hero,19,Female,July,18,,Dodge,Lance,Sword,,3,17,40,17,2,18,20,20,12,13,9,5,1800,,65,30,5,25,25,55,25,25,5,,1,-3,0,0,2,-1,2,,Disarming Sigh,---,---,---,---,Elusia,"Princess Hortensia's retainer. She seems demure on the surface, but is conceited to the core.",40,17,2,18,20,20,12,13,9,5
Lindon,,PID_リンデン,Sage,60,Male,June,29,,Balanced,Staff,Tome,,5,18,38,8,19,21,19,12,21,8,10,5,2000,,65,25,25,25,40,25,40,15,10,,0,2,-1,0,-2,2,0,,Weapon Insight,---,---,---,---,Elusia,"A scholar from Elusia. Has a great hunger for knowledge, which he feeds with studies and experiments.",38,8,19,21,19,12,21,8,10,5
Saphir,,PID_ザフィーア,Warrior,35,Female,January,17,,Avoid,Axe,Bow,,7,19,51,24,2,23,19,19,9,15,15,5,2000,,80,35,0,25,30,30,5,20,10,,2,-2,0,1,1,-2,0,,Will to Win,---,---,---,---,Brodia,A warrior from Brodia. She is a dauntless and determined seeker of truth.,51,24,2,23,19,19,9,15,15,5
Lumera,,PID_ルミエル,Divine Dragon,---,Female,---,---,,Default,Sword,---,,1,0,38,18,6,14,19,16,12,9,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,Lythos,"The Divine Dragon and ruler of the holy land of Lythos. Vanquished the Fell Dragon 1,000 years ago.",38,18,6,14,19,16,12,9,9,5
Sombron,,PID_ソンブル,Fell Monarch,---,Male,---,---,,Default,Tome,---,,1,0,22,4,10,5,6,3,9,4,5,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,Gradlon,The Fell Dragon King. A wicked creature who wields immense dark power.,22,4,10,5,6,3,9,4,5,5
Éve,,PID_イヴ,High Priest,---,Female,---,---,,Default,Staff,---,,1,0,31,5,16,16,15,5,18,13,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,Firene,The kind queen of Firene. A gentle soul who wishes for a world without strife or conflict.,31,8,19,16,15,9,22,13,7,5
Morion,,PID_モリオン,Hero,---,Male,---,---,,Default,Axe,---,,1,0,40,16,0,18,19,11,5,10,10,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,Brodia,"The brave king of Brodia. A powerful and proud warrior, he prizes honor on the battlefield.",40,19,3,18,19,15,9,10,10,5
Hyacinth,,PID_ハイアシンス,Martial Master,---,Male,---,---,,Default,"Staff, Arts",---,,1,0,36,12,12,13,13,8,13,9,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,Elusia,The cunning king of Elusia. Worships the Fell Dragon and schemes for the advancement of his country.,36,15,15,13,13,12,17,9,9,5
Seforia,,PID_スフォリア,Wyvern Knight,---,Female,---,---,,Default,Lance,---,,1,0,44,17,6,19,19,11,7,7,10,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,Solm,The free-spirited queen of Solm. Leads her country by example with heroic acts.,44,20,9,19,19,16,11,7,10,6
Veyle,,PID_ヴェイル,Fell Child,16,Female,September,12,,Dodge,Tome,Dagger,,35,0,35,20,26,24,23,17,29,18,7,5,2500,,40,25,45,35,30,25,35,20,0,,0,3,0,-1,0,3,-2,,"(Equip Obscurité), (Equip Misericorde), Fell Protection",---,---,---,---,---,"The younger sister of \0. Her darkness conquered, she fights for peace.",35,20,26,24,23,17,29,18,7,5
???,Hooded,PID_ヴェイル_フード,Fell Child,16,Female,September,12,,Default,Tome,---,,1,0,20,3,7,4,5,2,7,3,4,5,0,,40,25,45,35,30,25,35,20,0,,0,0,0,0,0,0,0,,"(Equip Obscurité), (Equip Misericorde)",---,---,---,---,---,"The younger sister of \0. Her darkness conquered, she fights for peace.",20,3,7,4,5,2,7,3,4,5
Veyle,Bandaged?,PID_ヴェイル_包帯,Fell Child,16,Female,September,12,,Default,Tome,---,,1,0,20,3,7,4,5,2,7,3,4,5,0,,40,25,45,35,30,25,35,20,0,,0,0,0,0,0,0,0,,"(Equip Obscurité), (Equip Misericorde)",---,---,---,---,---,"The younger sister of \0. Her darkness conquered, she fights for peace.",20,3,7,4,5,2,7,3,4,5
Veyle,Face reveal,PID_ヴェイル_フード_顔出し,Fell Child,16,Female,September,12,,Default,Tome,---,,1,0,20,3,7,4,5,2,7,3,4,5,0,,40,25,45,35,30,25,35,20,0,,0,0,0,0,0,0,0,,"(Equip Obscurité), (Equip Misericorde)",---,---,---,---,---,"The younger sister of \0. Her darkness conquered, she fights for peace.",20,3,7,4,5,2,7,3,4,5
Veyle,White Evil,PID_ヴェイル_白_悪,Fell Child,16,Female,September,12,,Default,Tome,---,,1,0,20,3,7,4,5,2,7,3,4,5,0,,40,25,45,35,30,25,35,20,0,,0,0,0,0,0,0,0,,"(Equip Obscurité), (Equip Misericorde)",---,---,---,---,---,"The younger sister of \0. Her darkness conquered, she fights for peace.",20,3,7,4,5,2,7,3,4,5
Veyle,Black Evil,PID_ヴェイル_黒_悪,Fell Child,16,Female,September,12,,Default,Tome,---,,1,0,20,3,7,4,5,2,7,3,4,5,0,,40,25,45,35,30,25,35,20,0,,0,0,0,0,0,0,0,,"(Equip Obscurité), (Equip Misericorde)",---,---,---,---,---,"The younger sister of \0. Her darkness conquered, she fights for peace.",20,3,7,4,5,2,7,3,4,5
Veyle,Black Good,PID_ヴェイル_黒_善,Fell Child,16,Female,September,12,,Default,Tome,---,,1,0,20,3,7,4,5,2,7,3,4,5,0,,40,25,45,35,30,25,35,20,0,,0,0,0,0,0,0,0,,"(Equip Obscurité), (Equip Misericorde)",---,---,---,---,---,"The younger sister of \0. Her darkness conquered, she fights for peace.",20,3,7,4,5,2,7,3,4,5
Veyle,Black Good Broken Horn?,PID_ヴェイル_黒_善_角折れ,Fell Child,16,Female,September,12,,Default,Tome,---,,1,0,20,3,7,4,5,2,7,3,4,5,0,,40,25,45,35,30,25,35,20,0,,0,0,0,0,0,0,0,,"(Equip Obscurité), (Equip Misericorde)",---,---,---,---,---,"The younger sister of \0. Her darkness conquered, she fights for peace.",20,3,7,4,5,2,7,3,4,5
Zephia,,PID_セピア,Melusine,2500,Female,---,---,,Default,Sword,---,,30,0,44,20,21,19,25,18,22,9,9,6,0,,60,35,35,35,50,30,35,20,5,,0,1,0,2,1,1,-3,,---,---,---,---,---,---,The leader of the Four Hounds. She is descended from mage dragons and has lived thousands of years.,44,20,21,19,25,18,22,9,9,6
Griss,,PID_グリ,Sage,27,Male,---,---,,Default,Staff,---,,10,0,40,12,29,15,15,16,29,11,8,5,0,,55,30,50,20,25,35,50,25,5,,-2,3,-2,-2,0,3,2,,---,---,---,---,---,---,Fearsome member of the Four Hounds. A dangerously unstable and violent user of powerful magic.,40,12,29,15,15,16,29,11,8,5
Mauvier,,PID_モーヴ,Royal Knight,31,Male,September,13,,Default,Staff,---,,12,0,51,21,23,25,22,26,24,16,12,6,2500,,70,35,40,40,35,50,45,15,15,,1,2,1,-2,1,1,-2,,Contemplative,---,---,---,---,---,"Formerly one of the Four Hounds. He is Veyle's knight, and has sworn to fight alongside \0.",51,21,23,25,22,26,24,16,12,6
Marni,,PID_マロン,General,16,Female,---,---,,Default,Axe,---,,10,0,53,28,8,10,8,32,11,11,14,4,0,,75,50,20,5,15,55,25,25,10,,3,0,-2,-2,3,-1,0,,---,---,---,---,---,---,One of the Four Hounds. A somewhat naive armored knight.,53,28,8,10,8,32,11,11,14,4
Anna,,PID_アンナ,Axe Fighter,11,Female,June,8,,Hit,Bow,Axe,,5,0,29,10,2,9,7,4,5,3,7,4,300,,55,15,50,50,50,20,35,45,5,,0,1,1,1,-2,-1,1,,Make a Killing,---,---,---,---,Elusia,A traveling merchant from a wintry part of Elusia. She is a cheerful and cunning cheapskate.,29,10,2,9,7,4,5,3,7,4
Jean,,PID_ジャン,Martial Monk,10,Male,March,31,,Critical,Arts,Tome,,1,0,19,4,5,10,7,4,8,3,3,4,300,,50,20,20,35,40,25,20,25,5,,0,2,-1,-1,0,0,1,,Expertise,---,---,---,---,Firene,A doctor's son from Firene who works his hardest to save all the lives he can.,19,4,5,10,7,4,8,3,3,4
Jade,Helmet,PID_ジェーデ_兜あり,Axe Armor,22,Female,December,7,,Default,Axe,---,,12,0,33,13,4,11,5,18,4,5,9,4,0,,55,35,25,35,30,40,30,20,10,,0,0,0,0,0,0,0,,---,---,---,---,---,Brodia,Prince Diamant's retainer. A warrior of few words who always keeps her wits about her.,33,13,4,11,5,18,4,5,9,4
Illusory Double,,PID_残像,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Foe Earned Exp 0),---,---,---,---,---,An illusion created with an engage skill.,18,1,0,6,5,2,2,3,4,4
(Custom),Prologue,PID_M000_リュール,Dragon Child,---,Male,---,---,,Default,---,---,,20,0,50,16,5,17,16,17,13,14,8,4,0,,75,50,25,55,60,50,35,30,10,,0,0,0,0,0,0,0,,"(Critical 0), (Hit 100), (Equip Libération), (Forced Death)",---,---,---,---,---,"A warrior fighting beside Emblems, on a journey of awakening.",50,16,5,17,16,17,13,14,8,4
???,Prologue,PID_M000_ソンブル,Fell Monarch,---,Male,---,---,,Default,---,---,,25,0,60,10,19,22,14,14,21,11,10,2,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,"(Critical 0), (Equip Obscurité), (Stuck), (Foe with Death Convo)",---,---,---,---,---,An unidentified enemy. An evil aura radiates from this person.,60,10,19,22,14,14,21,11,10,2
???,Chapter 1,PID_M001_異形兵_蛮族_ボス,Barbarian,---,Male,---,---,,Default,---,---,,5,0,30,4,0,2,9,7,1,5,10,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Critical 0),---,---,---,---,---,Unidentified Monster,30,4,0,2,9,7,1,5,10,4
???,,PID_M001_異形兵_蛮族_雑魚A,Barbarian,---,Male,---,---,,Default,---,---,,1,0,26,2,0,0,5,2,0,0,7,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Critical 0),---,---,---,---,---,Unidentified Monster,26,2,0,0,5,2,0,0,7,4
???,,PID_M001_異形兵_蛮族_雑魚B,Barbarian,---,Male,---,---,,Default,---,---,,1,0,26,2,0,0,5,2,0,0,7,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Critical 0),---,---,---,---,---,Unidentified Monster,26,2,0,0,5,2,0,0,7,4
???,,PID_M001_異形兵_蛮族_雑魚C,Barbarian,---,Male,---,---,,Default,---,---,,1,0,26,2,0,0,5,2,0,0,7,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Critical 0),---,---,---,---,---,Unidentified Monster,26,2,0,0,5,2,0,0,7,4
???,,PID_M001_異形兵_蛮族_微強,Barbarian,---,Male,---,---,,Default,---,---,,2,0,27,3,0,1,5,2,0,0,7,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Critical 0),---,---,---,---,---,Unidentified Monster,27,4,0,1,5,2,0,0,7,4
Lumera,Chapter 2,PID_M002_ルミエル,Divine Dragon,---,Female,---,---,,Default,Sword,---,,5,0,30,8,4,7,6,5,2,5,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,"(Critical 0), (Equip Libération), (Immortal), (Foe with Death Convo)",(Hit/Avoid -10),---,Unbreakable,---,---,"The Divine Dragon and ruler of the holy land of Lythos. Vanquished the Fell Dragon 1,000 years ago.",30,10,4,8,6,5,2,6,7,5
Fabrication,,PID_M002_幻影兵_アクスファイター_イベント,Axe Fighter,---,Male,---,---,,Default,---,---,,2,0,23,6,0,3,3,2,0,1,9,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,27,10,0,5,4,3,1,1,9,4
Fabrication,,PID_M002_幻影兵_アーチャー_イベント,Archer,---,Female,---,---,,Default,---,---,,2,0,17,3,0,8,2,1,0,2,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,20,7,0,10,5,2,1,2,4,4
Fabrication,,PID_M002_幻影兵_アクスファイター,Axe Fighter,---,Male,---,---,,Default,---,---,,3,0,25,8,0,5,4,3,0,1,9,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,28,10,0,6,4,4,1,1,9,4
Fabrication,,PID_M002_幻影兵_ランスファイター,Lance Fighter,---,Male,---,---,,Default,---,---,,3,0,22,4,2,7,4,3,1,0,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,25,7,3,9,7,5,3,0,5,4
Fabrication,,PID_M002_幻影兵_ソードナイト,Sword Cavalier,---,Female,---,---,,Default,---,---,,3,0,22,4,1,7,5,3,1,0,6,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,25,7,1,9,8,5,3,0,6,5
Fabrication,,PID_M002_幻影兵_アーチャー,Archer,---,Female,---,---,,Default,---,---,,3,0,18,4,0,8,3,1,0,0,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,21,7,0,10,6,3,2,0,4,4
Abyme,Chapter 3,PID_M003_イルシオン兵_ボス,Axe Armor,---,Female,---,---,,Default,---,---,,7,0,30,8,0,8,1,11,0,0,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Foe with Death Convo),(Hit/Avoid -10),Stalwart,Veteran+,---,---,The leader of a mysterious troop. Clearly devoted to her duty.,31,11,0,9,3,13,1,0,8,4
Unknown Soldier,,PID_M003_イルシオン兵_ランスファイター,Lance Fighter,---,Male,---,---,,Default,---,---,,4,0,23,6,2,8,4,3,1,0,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,Mysterious foreign troops who attacked without warning.,26,9,3,10,7,5,3,0,5,4
